Main General;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Total Mounted;;;Total Ground;;;Total Ranged;;;Total Siege;;;Overall;;;;;Attributes;;;Base Stats;;;;;;Base Growth;;;;;;;General Lvl; 44 ;
#28;Cheng Yaojin; 45 ; 35 ; 35 ; -   ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 35 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 125 ; 80 ; 55 ; -   ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 330 ; 260 ; 70 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#29;Miltiades; -   ; 35 ; -   ; 45 ; 35 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 50 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 5 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; 105 ; 90 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; 330 ; 35 ; 295 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#30;Frigg; -   ; -   ; -   ; 45 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; 40 ; 50 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; 95 ; 95 ; 105 ; -   ; -   ; -   ; -   ; -   ; -   ; 315 ; 20 ; 295 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#31;Maurice de Saxe; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 75 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 5 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 130 ; 90 ; 85 ; 315 ; -   ; -   ; 10 ; 305 ;;;;;;;;;;;;;;;;;;;
#32;*William Marshal; -   ; -   ; 20 ; -   ; -   ; 20 ; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; -   ; -   ; 6 ; -   ; -   ; 36 ; 10 ; 10 ; 36 ; 10 ; -   ; -   ; 30 ; -   ; -   ; 30 ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 46 ; 30 ; 20 ; 6 ; 30 ; 20 ; 66 ; 10 ; 10 ; 66 ; 10 ; -   ; 314 ; 96 ; 56 ; 86 ; 76 ;;;;;;;;;;;;;;;;;;;
#33;Arthur Wellesley; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 25 ; 25 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 50 ; 40 ; 10 ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; 75 ; 65 ; 50 ; -   ; 20 ; 300 ; -   ; -   ; 230 ; 70 ;;;;;;;;;;;;;;;;;;;
#34;Qin Qiong; -   ; -   ; 40 ; 40 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 45 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 85 ; 85 ; 85 ; -   ; -   ; -   ; -   ; -   ; -   ; 295 ; 40 ; 255 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#35;Sweym Forkbeard; -   ; 10 ; -   ; 40 ; 10 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; 60 ; 35 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ; 5 ; 5 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 15 ; 5 ; 105 ; 50 ; 65 ; -   ; -   ; -   ; -   ; -   ; -   ; 290 ; 70 ; 220 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#36;Godfrey of Bouilon; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 10 ; 40 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 30 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 25 ; 10 ; 10 ; 5 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 65 ; 80 ; 10 ; 15 ; 10 ; 280 ; -   ; -   ; 245 ; 35 ;;;;;;;;;;;;;;;;;;;
#37;Mason Weaver; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 25 ; 25 ; 20 ; 25 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 10 ; 20 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 35 ; 45 ; 60 ; 25 ; 25 ; 270 ; -   ; -   ; 160 ; 110 ;;;;;;;;;;;;;;;;;;;
#38;Washington (Prime); 40 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 45 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 115 ; 55 ; 85 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 255 ; 255 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#39;Daniel Morgan; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 45 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 30 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 100 ; 65 ; 80 ; 255 ; -   ; -   ; 10 ; 245 ;;;;;;;;;;;;;;;;;;;
#40;*Yodo-dono; -   ; -   ; 20 ; -   ; -   ; 20 ; 40 ; -   ; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 10 ; -   ; 12 ; 10 ; -   ; 37 ; 20 ; 10 ; 12 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 10 ; 20 ; 12 ; 10 ; 20 ; 77 ; 20 ; 30 ; 12 ; 10 ; 20 ; 253 ; 42 ; 42 ; 127 ; 42 ;;;;;;;;;;;;;;;;;;;
#41;Mu Guiying; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; 70 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; 120 ; 35 ; 45 ; 250 ; -   ; -   ; 50 ; 200 ;;;;;;;;;;;;;;;;;;;
#42;Turenne; -   ; 35 ; -   ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 60 ; 35 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 35 ; -   ; 95 ; 70 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 250 ; 45 ; 205 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#43;*Leo III; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 20 ; -   ; 60 ; 30 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 50 ; 20 ; -   ; 105 ; 30 ; 20 ; 245 ; 10 ; 10 ; 70 ; 155 ;;;;;;;;;;;;;;;;;;;
#44;Pyrrhus; -   ; -   ; 15 ; 35 ; 35 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 15 ; 45 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 30 ; 80 ; 70 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 245 ; 45 ; 200 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#45;*Lautaro; 25 ; -   ; -   ; 25 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 10 ; 30 ; 30 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 10 ; 30 ; 55 ; 60 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; 240 ; 95 ; 145 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#46;Edward Teach; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 40 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 25 ; 65 ; 20 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; 25 ; 105 ; 50 ; 35 ; 235 ; -   ; -   ; 45 ; 190 ;;;;;;;;;;;;;;;;;;;
#47;Raimondo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; 45 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 45 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; 105 ; 80 ; 10 ; 230 ; -   ; -   ; 35 ; 195 ;;;;;;;;;;;;;;;;;;;
#48;Robert the Bruce; 15 ; -   ; -   ; 15 ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 41 ; -   ; 25 ; 51 ; -   ; 35 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 56 ; -   ; 25 ; 66 ; -   ; 60 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 219 ; 81 ; 126 ; 6 ; 6 ;;;;;;;;;;;;;;;;;;;
#49;*Queen Boudica; 30 ; -   ; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 62 ; 56 ; 10 ; 16 ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 92 ; 56 ; 25 ; 16 ; -   ; 15 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 216 ; 173 ; 31 ; 6 ; 6 ;;;;;;;;;;;;;;;;;;;
#50;Louis IX; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 40 ; 20 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 85 ; 20 ; -   ; -   ; 10 ; 215 ; -   ; -   ; 205 ; 10 ;;;;;;;;;;;;;;;;;;;
#51;Subutai; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 45 ; 10 ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 65 ; 30 ; -   ; 25 ; -   ; 215 ; -   ; -   ; 190 ; 25 ;;;;;;;;;;;;;;;;;;;
#52;*Oda Oichi; 15 ; -   ; -   ; 15 ; -   ; 30 ; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; -   ; -   ; 26 ; 20 ; 10 ; 16 ; -   ; -   ; 16 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 41 ; -   ; -   ; 41 ; 20 ; 40 ; 31 ; -   ; -   ; 31 ; -   ; -   ; 204 ; 41 ; 101 ; 31 ; 31 ;;;;;;;;;;;;;;;;;;;
#53;Laudon; 40 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 45 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 60 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 195 ; 195 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#54;Soult; -   ; -   ; -   ; 35 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 60 ; 25 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 95 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 195 ; 10 ; 185 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#55;*George Dewey; -   ; -   ; 15 ; -   ; -   ; -   ; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 62 ; 10 ; -   ; 52 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 15 ; 6 ; -   ; -   ; 82 ; 10 ; -   ; 72 ; -   ; -   ; 191 ; 21 ; 6 ; 92 ; 72 ;;;;;;;;;;;;;;;;;;;
#56;*Leonidas; -   ; -   ; -   ; 30 ; -   ; 30 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 60 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 90 ; 10 ; 50 ; 25 ; -   ; -   ; -   ; -   ; -   ; 185 ; 10 ; 150 ; 25 ; -   ;;;;;;;;;;;;;;;;;;;
#57;Andre Massena; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 55 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 110 ; 55 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 185 ; 185 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#58;Edward III; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; 15 ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 10 ; 35 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; 25 ; 35 ; 35 ; -   ; -   ; 185 ; -   ; -   ; 150 ; 35 ;;;;;;;;;;;;;;;;;;;
#59;Epaminondas; -   ; -   ; 15 ; 30 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 20 ; 30 ; 10 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 35 ; 60 ; 10 ; 65 ; -   ; -   ; -   ; -   ; -   ; -   ; 180 ; 45 ; 135 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#60;*Yi Sun-Sin; 25 ; -   ; -   ; 25 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 42 ; -   ; 10 ; 32 ; -   ; -   ; 12 ; -   ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 67 ; -   ; 10 ; 57 ; -   ; -   ; 22 ; -   ; -   ; 22 ; -   ; -   ; 178 ; 77 ; 57 ; 22 ; 22 ;;;;;;;;;;;;;;;;;;;
#61;Ii Naomasa; 25 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; 20 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 20 ; 95 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 175 ; 175 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#62;*Ly Thuong; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 62 ; 20 ; 10 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 92 ; 50 ; 10 ; 6 ; -   ; -   ; 170 ; 6 ; 6 ; 152 ; 6 ;;;;;;;;;;;;;;;;;;;
#63;Sun Ce; 35 ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 40 ; 10 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 170 ; 135 ; 35 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#64;Toyotomi; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 20 ; 30 ; 20 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 30 ; 40 ; 40 ; -   ; 10 ; 170 ; -   ; -   ; 120 ; 50 ;;;;;;;;;;;;;;;;;;;
#65;*Zachary Taylor; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 51 ; -   ; 10 ; 41 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 101 ; -   ; 10 ; 41 ; -   ; -   ; 164 ; 6 ; 6 ; 111 ; 41 ;;;;;;;;;;;;;;;;;;;
#66;Ulysses; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 56 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 76 ; 10 ; 20 ; 162 ; 56 ; -   ; -   ; 106 ;;;;;;;;;;;;;;;;;;;
#67;Martinus; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 66 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 116 ; 25 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 161 ; 161 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#68;Prince Eugene; 35 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 35 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 45 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 160 ; 160 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#69;*J Bowie; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 32 ; -   ; -   ; 42 ; 20 ; 20 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 47 ; -   ; -   ; 57 ; 20 ; 20 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 156 ; 47 ; 97 ; 6 ; 6 ;;;;;;;;;;;;;;;;;;;
#70;Minamoto; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 76 ; 10 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 116 ; 10 ; 20 ; 10 ; -   ; -   ; 156 ; -   ; -   ; 146 ; 10 ;;;;;;;;;;;;;;;;;;;
#71;Takeda Shingen; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 42 ; -   ; 20 ; 32 ; -   ; 10 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 62 ; -   ; 20 ; 52 ; -   ; 10 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 156 ; 82 ; 62 ; 6 ; 6 ;;;;;;;;;;;;;;;;;;;
#72;Septimius Serv; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 40 ; 30 ; 155 ; -   ; -   ; -   ; 155 ;;;;;;;;;;;;;;;;;;;
